uuid,speed,timestamp,time,weekday,location
Device_5,0,2017-08-10 15:02:00,15:02:00,Thursday,"[47.5706177, -52.7349458]"
Device_5,0,2017-08-10 15:03:00,15:03:00,Thursday,"[47.5705624, -52.73465129999999]"
Device_5,0.209999993,2017-08-10 15:05:00,15:05:00,Thursday,"[47.57015299, -52.73567311]"
Device_5,1.220000029,2017-08-10 15:05:00,15:05:00,Thursday,"[47.56991473, -52.73590797]"
Device_5,0,2017-08-10 15:06:00,15:06:00,Thursday,"[47.570833, -52.7361892]"
Device_5,0,2017-08-10 15:06:00,15:06:00,Thursday,"[47.56958529999999, -52.7368294]"
Device_5,0,2017-08-10 15:06:00,15:06:00,Thursday,"[47.569567600000006, -52.736489]"
Device_5,0,2017-08-10 15:16:00,15:16:00,Thursday,"[47.5710881, -52.7361874]"
Device_5,1.079999924,2017-08-10 15:19:00,15:19:00,Thursday,"[47.57142255, -52.73711027]"
Device_5,0,2017-08-10 15:19:00,15:19:00,Thursday,"[47.571878600000005, -52.7344284]"
Device_5,1.519999981,2017-08-10 15:19:00,15:19:00,Thursday,"[47.57146614, -52.73751612]"
Device_5,1.350000024,2017-08-10 15:20:00,15:20:00,Thursday,"[47.57166659, -52.73781217]"
Device_5,1.439999938,2017-08-10 15:20:00,15:20:00,Thursday,"[47.57188946, -52.73806832]"
Device_5,1.459999919,2017-08-10 15:20:00,15:20:00,Thursday,"[47.5720861, -52.7384512]"
Device_5,1.269999981,2017-08-10 15:21:00,15:21:00,Thursday,"[47.57196381, -52.73947061]"
Device_5,1.100000024,2017-08-10 15:22:00,15:22:00,Thursday,"[47.57163851, -52.74046739]"
Device_5,0,2017-08-10 15:23:00,15:23:00,Thursday,"[47.57176870000001, -52.741007700000004]"
Device_5,0,2017-08-10 15:23:00,15:23:00,Thursday,"[47.5719059, -52.741369799999994]"
Device_5,0,2017-08-10 15:24:00,15:24:00,Thursday,"[47.5715771, -52.741207700000004]"
Device_5,0,2017-08-10 15:25:00,15:25:00,Thursday,"[47.571599, -52.741675300000004]"
Device_5,0,2017-08-10 15:25:00,15:25:00,Thursday,"[47.571403000000004, -52.7420972]"
Device_5,0,2017-08-10 15:26:00,15:26:00,Thursday,"[47.5707269, -52.7433952]"
Device_5,1.189999938,2017-08-10 15:27:00,15:27:00,Thursday,"[47.57148194, -52.73946634]"
Device_5,0,2017-08-10 15:27:00,15:27:00,Thursday,"[47.571115, -52.7428637]"
Device_5,0,2017-08-10 15:30:00,15:30:00,Thursday,"[47.5703781, -52.743300100000006]"
Device_5,0,2017-08-10 15:40:00,15:40:00,Thursday,"[47.5703708, -52.74330629999999]"
Device_5,0,2017-08-10 15:40:00,15:40:00,Thursday,"[47.5703781, -52.743300100000006]"
Device_5,0,2017-08-10 15:54:00,15:54:00,Thursday,"[47.5703708, -52.74330629999999]"
Device_5,0,2017-08-10 16:04:00,16:04:00,Thursday,"[47.5703708, -52.74330629999999]"
Device_5,0,2017-08-10 16:20:00,16:20:00,Thursday,"[47.57147179, -52.73684196]"
Device_5,0,2017-08-10 16:22:00,16:22:00,Thursday,"[47.5703708, -52.74330629999999]"
Device_5,0,2017-08-10 16:31:00,16:31:00,Thursday,"[47.5703708, -52.74330629999999]"
Device_5,0,2017-08-10 16:32:00,16:32:00,Thursday,"[47.5708525, -52.7430809]"
Device_5,0.709999979,2017-08-10 16:34:00,16:34:00,Thursday,"[47.56930620000001, -52.74488775]"
Device_5,0.359999985,2017-08-10 16:34:00,16:34:00,Thursday,"[47.56925885, -52.74487719]"
Device_5,6.929999828,2017-08-10 16:35:00,16:35:00,Thursday,"[47.56902801, -52.74466278]"
Device_5,0.02,2017-08-10 16:35:00,16:35:00,Thursday,"[47.5688522, -52.74434729]"
Device_5,4.880000114,2017-08-10 16:35:00,16:35:00,Thursday,"[47.56862932, -52.74409105]"
Device_5,0,2017-08-10 16:36:00,16:36:00,Thursday,"[47.56845754, -52.74381948]"
Device_5,10.14999962,2017-08-10 16:37:00,16:37:00,Thursday,"[47.56852489, -52.74339301]"
Device_5,15.88999939,2017-08-10 16:37:00,16:37:00,Thursday,"[47.56917159, -52.74212432]"
Device_5,16.65999985,2017-08-10 16:37:00,16:37:00,Thursday,"[47.56987135, -52.74051324]"
Device_5,9.119999886,2017-08-10 16:37:00,16:37:00,Thursday,"[47.57043106, -52.73915344]"
Device_5,5.130000114,2017-08-10 16:38:00,16:38:00,Thursday,"[47.57058268, -52.73879319]"
Device_5,11.35999966,2017-08-10 16:38:00,16:38:00,Thursday,"[47.57093669, -52.73791183]"
Device_5,14.35999966,2017-08-10 16:38:00,16:38:00,Thursday,"[47.57165171, -52.73662437]"
Device_5,15.18999958,2017-08-10 16:39:00,16:39:00,Thursday,"[47.57263738, -52.735381000000004]"
Device_5,12.30999947,2017-08-10 16:39:00,16:39:00,Thursday,"[47.57348831, -52.73421750000001]"
Device_5,0.269999981,2017-08-10 16:39:00,16:39:00,Thursday,"[47.5738396, -52.73368894]"
Device_5,6.879999638,2017-08-10 16:40:00,16:40:00,Thursday,"[47.57406859, -52.73333875]"
Device_5,11.15999985,2017-08-10 16:40:00,16:40:00,Thursday,"[47.57466987, -52.73247541]"
Device_5,13.32999992,2017-08-10 16:40:00,16:40:00,Thursday,"[47.57546125, -52.73146212]"
Device_5,12.79999924,2017-08-10 16:40:00,16:40:00,Thursday,"[47.57627588, -52.73039209]"
Device_5,13.13999939,2017-08-10 16:40:00,16:40:00,Thursday,"[47.57700088, -52.72941358]"
Device_5,7.359999657,2017-08-10 16:41:00,16:41:00,Thursday,"[47.57729927, -52.72857221]"
Device_5,0.269999981,2017-08-10 16:41:00,16:41:00,Thursday,"[47.576986, -52.72831136]"
