uuid,latitude,longitude,altitude,speed,timestamp
2C08C96C-2595-4813-9EED-F1C8BE107854,47.580494,-52.72607,54.234314,18.219999,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.581184,-52.725062,58.311035,19.18,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.581753,-52.723934,61.814758,18.200001,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.582372,-52.722978,62.117981,16.83,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.582922,-52.722542,62.385376,17.200001,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.583549,-52.722335,63.37738,17.67,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.584317,-52.722401,67.042114,17.610001,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.585273,-52.722554,67.260559,16.110001,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.585857,-52.722534,69.430542,16.469999,2017-07-15 11:45
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.572689,-52.735562,54.259705,14.18,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.573095,-52.735056,55.274963,14.69,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.573499,-52.734483,53.29303,15.47,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.573925,-52.73388,52.950623,15.78,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.574337,-52.733296,54.944763,14,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.574887,-52.732507,50.601746,14.91,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.575278,-52.731943,52.788696,15.73,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.575881,-52.731115,53.32428,14.87,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.576269,-52.730541,56.467224,15.39,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.576763,-52.729895,55.472717,15.6,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.57744,-52.729103,50.018982,15.96,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.577893,-52.728526,50.064209,16.879999,2017-07-15 11:46
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.567523,-52.744821,41.736328,10.1,2017-07-15 11:47
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.567893,-52.744387,45.059082,14.6,2017-07-15 11:47
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.568387,-52.74369,47.598511,15.24,2017-07-15 11:47
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.568771,-52.743095,47.514648,15.62,2017-07-15 11:47
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.569128,-52.74245,44.655884,15.46,2017-07-15 11:47
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.569613,-52.741417,45.596375,15.66,2017-07-15 11:47
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570078,-52.740391,45.930359,15.67,2017-07-15 11:47
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.570552,-52.739365,44.24585,15.79,2017-07-15 11:47
,,,,,
,,,,,
2C08C96C-2595-4813-9EED-F1C8BE107854,47.571019,-52.738339,46.309082,14.39,2017-07-15 11:47
,,,,,
